index,address,city,region,postalcode,lat,lng
1,3035 W. Thunderbird Rd.,Phoenix,AZ,85029,33.609234,-112.123801
2,2300 W. Baseline Rd,Tempe,AZ,85282,33.379496,-111.972536
3, 600 E. Hamilton Ave.,Campbell,CA,95008,37.292432,-121.938945
4,1695 Willow Pass Rd.,Concord,CA,94520,37.975262,-122.042295
5, 43800 Osgood Rd.,Fremont,CA,94539,37.516042,-121.9419
6, 340 Portage Ave.,Palo Alto,CA,94306,37.423586,-122.136876
7, 180 N. Sunrise Ave., Roseville,CA,95661,38.74931,-121.266206
8,4100 Northgate Blvd., Sacramento,CA,95834,38.643154,-121.474504
9, 550 E. Brokaw Rd.,San Jose ,CA,95112,37.380207,-121.906942
10, 1077 East Arques Ave. , Sunnyvale,CA,94085,37.382639,-122.001493
11, 3370 E. La Palma Ave., Anaheim,CA,92806,33.852933,-117.846873
12,2311 N. Hollywood Wy., Burbank,CA,91505,34.190745,-118.349944
13,13401 N. Crossroads Pkwy., City of Industry,CA,91746,34.030491,-118.007092
14,10800 Kalama River Ave., Fountain Valley,CA,92708,33.699635,-117.940595
15, 3600 Sepulveda Blvd., Manhattan Beach,CA,90266,33.901693,-118.395412
16, 1901 E. Ventura Blvd., Oxnard,CA,93010,34.22616,-119.150512
17, 9825 Stonecrest Blvd., San Diego,CA,92123,32.80142,-117.114247
18,150 Bent Ave., San Marcos,CA,92078,33.137487,-117.183608
19,6100 Canoga Ave.,Woodland Hills,CA,91367,34.181589,-118.595675
20,3296 N.W. Commerce Ave., Duluth,GA,30096,33.958425,-84.12126
21, 3065 Webb Rd., Milton,GA,30004,34.097173,-84.271306
22, 3300 Finley Rd.,Downer's Grove,IL,60515,41.82631,-88.026199
23,9820 Kincaid Dr.,Fishers,IN,46037,39.9335,-86.022499
24,6845 S. Las Vegas Blvd.,Las Vegas,NV,89119,36.065255,-115.174529
25,29400 SW Towncenter Loop W.,Wilsonville,OR,97070,45.30683,-122.765796
26,102 East I-20,Arlington,TX,76018,32.676179,-97.113488
27,12710 Executive Dr., Dallas,TX,75238,32.868056,-96.677334
28,2488 Market Place Blvd.,Irving,TX,75063,32.923013,-96.977125
29, 700 E. Plano Pkwy,Plano,TX,75075,33.006649, -96.713037
30,10241 N. Fwy I-45, Houston,TX,77037,29.91191,-95.41384
31, 11565 S.W. Fwy 59, South Houston,TX,77031,29.651789,-95.567345
32, 21300 Gulf Fwy, Webster,TX,77598,29.521155,-95.121829
33,12707 N. Mopac Expy,Austin,TX,78727,30.422821,-97.699325
34,800 Garden Ave. N.,Renton,WA,98057,47.4968,-122.19751
